sep=,,,,,,
time (source1),data.0,data.1,data.2,data.3,data.4,
14.407,462.27,53.286,453.242,15.964,456.642,
14.519,462.39,96.936,421.892,15.664,433.168,
14.631,462.49,139.386,384.542,12.064,409.202,
14.741,462.61,167.436,348.092,13.114,386.49,
14.852,462.72,186.636,317.792,7.264,368.615,
14.963,462.83,197.436,309.092,13.864,367.03,
15.115,462.98,263.886,279.992,39.814,386.802,
15.227,463.09,302.886,296.342,44.464,426.069,
15.343,463.2,364.386,329.042,52.114,493.722,
15.461,463.32,438.936,335.342,53.914,555,
15.574,463.43,530.286,338.192,59.014,631.711,
15.68,463.54,602.586,333.992,68.014,692.305,
15.813,463.65,649.986,322.292,83.614,730.304,
15.939,463.8,745.086,339.992,128.914,829.075,
16.047,463.91,816.036,319.292,116.614,884.002,
16.156,464.01,839.436,298.742,132.214,900.766,
16.265,464.12,858.036,300.842,133.414,918.983,
16.378,464.23,871.236,309.992,126.964,933.416,
16.49,464.35,910.536,377.642,142.264,995.955,
16.607,464.46,996.636,473.942,184.114,1118.839,
16.773,464.63,1216.836,710.942,221.914,1426.665,
16.881,464.74,1375.836,911.342,266.914,1671.739,
16.998,464.85,1664.736,1445.792,366.064,2235.098,
17.112,464.97,1646.286,-1824.512,-11.636,2457.485,
17.228,465.08,704.736,-938.162,464.614,1262.009,
17.345,465.2,-125.814,-713.012,523.864,893.671,
17.497,465.35,-205.914,-1481.612,-130.136,1501.502,
17.613,465.47,-238.914,1560.542,-64.586,1580.045,
17.731,465.58,-239.064,525.542,-65.936,581.114,
17.838,465.69,-201.414,-51.508,-69.386,219.169,
17.946,465.8,-151.164,-45.358,94.114,183.753,
18.061,465.91,-588.114,-39.508,-26.936,590.054,
18.209,466.06,-31.614,-23.458,-31.886,50.66,
18.32,466.17,-10.014,-3.958,-36.836,38.377,
18.437,466.28,11.736,26.042,254.764,256.36,
18.539,466.39,18.336,469.596,20.014,470.379,
18.653,466.5,15.486,1379.046,11.764,1379.183,
18.779,466.62,1.986,-1421.458,7.114,1421.477,
18.888,466.73,-8.814,-649.258,7.564,649.361,
19.039,466.88,-14.814,-265.558,7.714,266.082,
19.15,466.99,-15.864,-159.508,8.614,160.526,
19.253,467.1,-16.464,-92.908,9.064,94.789,
19.374,467.21,-18.114,-37.258,7.564,42.112,
19.484,467.33,-18.114,7.142,7.414,20.834,
19.592,467.43,-19.014,26.192,7.564,33.238,
19.706,467.54,-18.714,27.092,7.714,33.818,
19.885,467.72,241.086,39.992,22.414,245.406,
19.994,467.83,240.486,39.692,21.964,244.727,
20.111,467.95,239.886,39.692,22.414,244.178,
