sep=	
time (source1)	data.0	data.1	data.2	data.3	data.4	data.5	data.6	
18.41	22.56	-182.964	-300.658	54.514	356.15	4	1	
18.522	22.68	-183.114	-300.208	53.764	355.733	4	1	
18.638	22.79	-183.564	-299.458	54.064	355.378	4	1	
18.79	22.95	-182.664	-299.908	54.664	355.385	4	1	
18.91	23.07	-182.214	-300.508	54.964	355.707	4	1	
19.021	23.18	-181.614	-300.058	54.664	354.974	4	1	
19.139	23.29	-182.814	-299.758	55.414	355.452	4	1	
19.26	23.41	-182.514	-300.658	54.814	355.965	4	1	
19.382	23.53	-182.814	-300.058	53.764	355.452	4	1	
19.545	23.69	-181.614	-300.958	54.214	355.666	4	1	
19.659	23.81	-182.364	-299.308	54.514	354.702	4	1	
19.772	23.92	-182.364	-299.758	53.914	354.99	4	1	
19.882	24.03	-181.314	-300.358	54.364	355.028	4	1	
20.005	24.15	-181.914	-301.108	53.764	355.878	4	1	
20.113	24.27	-183.114	-300.958	53.914	356.389	4	1	
20.286	24.44	-182.514	-300.208	54.214	355.493	4	1	
20.404	24.55	-181.764	-300.058	54.364	355.004	4	1	
20.512	24.66	-183.264	-300.358	54.364	356.028	4	1	
20.625	24.77	-182.964	-299.758	54.514	355.39	4	1	
20.747	24.89	-182.664	-300.508	54.214	355.823	4	1	
20.854	25.01	-182.064	-299.908	55.114	355.147	4	1	
21.039	25.19	-182.514	-300.958	53.164	355.968	4	1	
21.147	25.3	-182.664	-300.658	53.764	355.881	4	1	
21.273	25.42	-182.664	-299.758	54.514	355.236	4	1	
21.381	25.53	-182.664	-300.508	53.914	355.777	4	1	
21.506	25.65	-180.114	-300.058	53.764	354.071	4	1	
21.621	25.77	-184.164	-298.108	50.764	354.064	4	1	
21.797	25.94	-184.014	-297.658	50.914	353.629	4	1	
21.906	26.05	-185.964	-295.708	50.014	352.884	4	1	
22.024	26.17	-181.914	-296.758	52.864	352.069	4	1	
22.164	26.31	-180.114	-296.908	53.014	351.291	4	1	
24.891	29.03	-162.564	-63.658	28.714	176.929	5	1	
24.999	29.14	-162.114	-65.158	30.514	177.362	5	1	
25.155	29.29	-161.964	-66.508	29.614	177.574	5	1	
25.267	29.4	-163.014	-66.658	30.064	178.663	5	1	
25.384	29.52	-162.114	-66.508	31.564	178.046	5	1	
25.505	29.63	-162.114	-67.558	30.664	178.284	5	1	
25.612	29.75	-161.664	-66.808	31.114	177.67	5	1	
25.732	29.87	-162.564	-67.258	30.064	178.478	5	1	
25.877	30.01	-161.964	-66.358	30.214	177.619	5	1	
25.997	30.13	-162.714	-67.408	30.664	178.773	5	1	
26.103	30.24	-161.964	-66.808	30.364	177.813	5	1	
26.221	30.36	-162.264	-66.658	30.364	178.03	5	1	
26.339	30.47	-161.364	-67.108	30.514	177.406	5	1	
26.45	30.59	-161.664	-67.108	30.364	177.653	5	1	
26.632	30.77	-162.264	-67.258	30.964	178.359	5	1	
26.744	30.88	-162.264	-66.958	30.814	178.22	5	1	
26.867	31	-161.664	-67.708	30.214	177.855	5	1	
26.976	31.11	-162.564	-66.808	29.914	178.284	5	1	
27.091	31.22	-161.814	-66.658	29.914	177.544	5	1	
27.201	31.33	-162.114	-66.658	30.814	177.971	5	1	
27.366	31.49	-161.664	-66.808	30.364	177.54	5	1	
27.473	31.61	-161.664	-67.108	30.364	177.653	5	1	
27.587	31.72	-162.114	-66.808	30.214	177.924	5	1	
27.7	31.83	-162.414	-66.808	30.814	178.3	5	1	
27.814	31.94	-162.564	-66.658	30.514	178.329	5	1	
27.93	32.05	-162.114	-66.958	30.964	178.109	5	1	
28.083	32.21	-161.664	-66.808	29.764	177.438	5	1	
28.191	32.32	-162.264	-66.808	30.364	178.086	5	1	
28.311	32.44	-162.414	-66.208	30.964	178.102	5	1	
28.421	32.55	-162.864	-66.808	30.214	178.608	5	1	
28.541	32.67	-162.114	-67.108	30.514	178.088	5	1	
28.657	32.78	-161.514	-66.508	29.464	177.138	5	1	
28.813	32.94	-161.664	-66.658	30.364	177.483	5	1	
28.94	33.06	-161.814	-68.008	30.664	178.182	5	1	
29.053	33.18	-160.614	-66.958	34.114	177.324	5	1	
30.981	35.1	-92.814	-7.408	26.014	96.674	6	1	
31.096	35.21	-92.364	-8.608	26.764	96.548	6	1	
31.21	35.33	-91.914	-8.908	26.614	96.103	6	1	
31.33	35.44	-91.464	-9.208	27.364	95.912	6	1	
31.504	35.62	-92.064	-8.308	27.664	96.488	6	1	
31.622	35.74	-92.364	-8.908	27.064	96.658	6	1	
31.743	35.86	-92.364	-9.058	26.464	96.506	6	1	
31.866	35.98	-92.064	-8.158	26.314	96.097	6	1	
31.97	36.09	-92.214	-8.308	26.914	96.419	6	1	
32.083	36.2	-92.664	-8.758	26.614	96.807	6	1	
32.231	36.35	-91.764	-8.158	27.364	96.103	6	1	
32.341	36.46	-91.014	-9.208	26.164	95.146	6	1	
32.459	36.57	-92.964	-9.358	26.314	97.068	6	1	
32.565	36.68	-92.814	-9.508	26.464	96.98	6	1	
32.673	36.79	-91.614	-8.908	26.164	95.692	6	1	
32.793	36.91	-92.064	-8.908	26.314	96.164	6	1	
32.905	37.02	-91.464	-9.058	26.614	95.687	6	1	
33.05	37.17	-90.714	-8.608	26.614	94.928	6	1	
33.159	37.27	-92.814	-9.658	25.714	96.793	6	1	
33.271	37.38	-92.064	-9.208	25.114	95.871	6	1	
33.381	37.49	-91.764	-9.358	26.164	95.878	6	1	
33.495	37.61	-92.064	-9.358	26.614	96.289	6	1	
33.604	37.72	-92.214	-8.458	26.014	96.185	6	1	
33.76	37.87	-91.914	-9.358	25.864	95.941	6	1	
33.868	37.98	-91.914	-9.058	26.014	96.412	6	1	
33.983	38.09	-93.564	-8.908	23.614	96.908	6	1	
34.092	38.21	-93.114	-8.158	23.764	96.444	6	1	
34.2	38.31	-93.564	-8.008	22.264	96.509	6	1	
34.316	38.43	-93.864	-8.158	22.114	96.778	6	1	
34.431	38.54	-93.864	-8.158	22.864	96.952	6	1	
34.626	38.74	-93.114	-9.808	22.414	96.274	6	1	
34.735	38.85	-92.364	-10.108	21.214	95.306	6	1	
34.846	38.96	-92.514	-8.608	20.464	95.14	6	1	
34.961	39.07	-93.264	-9.058	21.064	96.041	6	1	
35.068	39.18	-93.414	-8.908	21.214	96.205	6	1	
35.179	39.29	-90.414	-11.158	26.164	94.782	6	1	
41.43	45.51	62.136	54.992	50.014	96.883	1	2	
41.57	45.67	62.436	54.992	49.864	96.998	1	2	
41.678	45.77	63.636	54.542	49.414	97.293	1	2	
41.794	45.89	62.586	54.692	48.664	96.314	1	2	
41.901	46	63.186	54.392	50.164	97.3	1	2	
42.013	46.11	62.736	54.692	49.564	96.869	1	2	
42.127	46.22	63.336	54.992	49.414	97.351	1	2	
42.289	46.38	63.036	54.992	50.014	97.463	1	2	
42.399	46.49	63.036	54.542	49.564	96.979	1	2	
42.519	46.6	63.786	54.242	49.864	97.847	1	2	
42.629	46.71	62.736	55.442	49.564	97.294	1	2	
42.738	46.83	62.436	55.142	49.414	96.853	1	2	
42.85	46.94	63.036	54.842	49.864	97.301	1	2	
42.959	47.05	63.636	55.142	48.964	97.404	1	2	
43.108	47.2	62.586	54.242	49.264	96.364	1	2	
43.22	47.31	63.186	54.242	49.114	96.679	1	2	
43.336	47.43	63.336	54.092	49.414	96.845	1	2	
43.443	47.54	63.036	53.942	50.314	97.029	1	2	
43.553	47.65	63.186	55.292	49.564	97.5	1	2	
43.661	47.75	62.286	53.942	49.714	96.232	1	2	
43.783	47.86	62.736	54.392	49.864	96.854	1	2	
43.969	48.05	63.186	54.092	50.014	97.055	1	2	
44.071	48.16	62.136	55.892	49.714	97.243	1	2	
44.182	48.27	60.936	56.042	49.864	96.645	1	2	
44.301	48.39	62.286	55.742	49.264	97.024	1	2	
44.406	48.5	61.536	55.592	49.114	96.381	1	2	
44.515	48.61	61.536	56.042	49.414	96.794	1	2	
44.627	48.72	61.386	55.892	49.114	96.459	1	2	
44.789	48.88	61.836	55.742	49.714	96.965	1	2	
44.905	48.99	63.936	55.592	51.064	98.923	1	2	
45.02	49.11	67.686	55.892	49.114	100.585	1	2	
48.256	52.32	469.236	25.592	159.214	496.171	2	2	
48.354	52.43	466.986	30.992	160.864	494.887	2	2	
48.468	52.55	466.386	31.292	161.464	494.535	2	2	
48.619	52.69	466.536	31.292	161.764	494.775	2	2	
48.726	52.81	467.436	30.692	162.364	495.782	2	2	
48.844	52.92	466.536	30.542	162.664	495.023	2	2	
48.958	53.03	467.136	31.442	161.764	495.35	2	2	
49.074	53.15	466.986	31.292	161.014	494.955	2	2	
49.183	53.26	466.536	30.542	161.164	494.532	2	2	
49.328	53.41	466.536	30.542	162.514	494.974	2	2	
49.444	53.52	467.286	31.292	161.614	495.433	2	2	
49.554	53.63	466.386	31.742	161.764	494.662	2	2	
49.668	53.74	466.686	30.692	161.614	494.83	2	2	
49.787	53.85	467.136	30.692	161.764	495.303	2	2	
49.893	53.97	466.836	31.442	162.514	495.313	2	2	
50.023	54.09	467.436	30.542	162.214	495.724	2	2	
50.232	54.3	466.836	31.292	161.464	494.479	2	2	
50.35	54.42	466.536	31.442	162.064	494.882	2	2	
50.457	54.53	467.136	30.992	161.164	495.126	2	2	
50.574	54.65	467.136	29.792	160.714	494.906	2	2	
50.694	54.77	465.486	31.292	162.064	493.883	2	2	
50.82	54.89	466.986	31.592	162.514	495.464	2	2	
50.973	55.04	467.136	30.692	160.714	494.961	2	2	
51.085	55.15	466.986	30.992	161.314	495.033	2	2	
51.202	55.27	466.836	31.742	161.614	495.037	2	2	
51.319	55.39	466.836	30.092	161.164	494.788	2	2	
51.441	55.51	466.536	30.992	161.614	494.707	2	2	
51.553	55.62	466.836	30.542	161.764	495.011	2	2	
51.716	55.78	467.436	32.042	161.314	495.525	2	2	
51.825	55.89	468.186	31.592	161.914	496.399	2	2	
51.937	56.01	466.986	31.442	161.764	495.209	2	2	
52.053	56.12	467.436	30.542	162.064	495.675	2	2	
52.162	56.23	466.686	31.892	161.764	494.955	2	2	
52.277	56.34	466.236	30.392	160.564	494.045	2	2	
52.428	56.49	467.286	31.592	161.914	495.55	2	2	
52.541	56.61	469.236	33.692	155.764	495.56	2	2	
56.88	60.92	1102.986	-1709.308	368.464	2067.384	3	2	
56.981	61.03	1032.036	-1486.558	336.964	1840.787	3	2	
57.095	61.15	1032.786	-1487.008	336.514	1841.488	3	2	
57.213	61.26	1031.736	-1486.108	338.464	1840.53	3	2	
57.413	61.47	1032.936	-1484.608	519.964	1881.855	3	2	
57.528	61.58	1033.836	-1484.458	519.364	1882.065	3	2	
57.638	61.69	1032.336	-1484.608	519.214	1881.319	3	2	
57.75	61.8	1032.636	-1485.058	520.114	1882.087	3	2	
57.874	61.93	1033.236	-1484.608	520.564	1882.186	3	2	
57.988	62.04	1033.236	-1484.008	520.264	1881.629	3	2	
58.164	62.21	1032.636	-1484.608	519.964	1881.69	3	2	
58.29	62.33	1032.036	-1483.708	519.814	1880.61	3	2	
58.4	62.45	1032.636	-1483.858	521.164	1881.431	3	2	
